Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
134.221.96.2-6.239.0.55-0-0-0;134221962;0;6239055;0;0;25/03/2025 00:02;127026;1;1;0;0;0;0;0;0;0;0;0;0;0;15.744.808.149.512.600;1270260;0;1270260;1270260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,87E+15;7,87E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.11-122.172.0.32-0-0-0;1342219611;0;122172032;0;0;25/03/2025 00:02;45086985;1;1;0;0;0;0;0;0;0;0;0;0;0;0.0443586990791245;4,51E+14;0;4,51E+14;4,51E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,22E+15;2,22E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;4,51E+14;0;4,51E+14;4,51E+14;0
134.221.96.2-55.206.0.40-0-0-0;134221962;0;55206040;0;0;25/03/2025 00:02;23994;19;1;0;0;0;0;0;0;0;0;0;0;0;833.541.718.763.024;1,26E+15;1,78E+16;67370;230;239700;1,33E+16;1,80E+16;67370;230;0;0;0;0;0;0;0;0;0;0;0;7,92E+15;4,17E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.7-98.188.5.180-0-0-0;134221967;0;981885180;0;0;25/03/2025 00:00;0;1;1;0;0;0;0;0;0;0;0;0;0;#NUM!;inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.11-122.172.0.20-0-0-0;1342219611;0;122172020;0;0;25/03/2025 00:02;56913;2;1;0;0;0;0;0;0;0;0;0;0;0;52.712.034.157.398.100;284565;2,75E+16;478680;90450;478680;478680;0;478680;478680;0;0;0;0;0;0;0;0;0;0;0;3,51E+15;1,76E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.9-182.130.0.21-0-0-0;134221969;0;182130021;0;0;25/03/2025 00:01;45007623;1;1;0;0;0;0;0;0;0;0;0;0;0;0.0444369168307333;4,50E+14;0;4,50E+14;4,50E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,22E+16;2,22E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;4,50E+14;0;4,50E+14;4,50E+14;0
134.221.96.12-24.65.0.60-0-0-0;1342219612;0;2465060;0;0;24/03/2025 23:59;60004377;1;1;0;0;0;0;0;0;0;0;0;0;0;0.0333309018440438;6,00E+14;0;6,00E+14;6,00E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,67E+16;1,67E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;6,00E+14;0;6,00E+14;6,00E+14;0
134.221.96.13-71.113.4.216-0-0-0;1342219613;0;711134216;0;0;25/03/2025 00:01;17703;6;1;0;0;0;0;0;0;0;0;0;0;0;3.954.132.068.011.070;29505;7,11E+15;174680;0;174680;34936;7,81E+16;174680;0;0;0;0;0;0;0;0;0;0;0;0;3,39E+15;5,65E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.9-154.168.0.41-0-0-0;134221969;0;154168041;0;0;24/03/2025 23:59;40370848;61;1;0;0;0;0;0;0;0;0;0;0;0;15.357.616.466.218.300;6,62E+15;1,92E+16;72239180;450;4,04E+14;67284485;1,93E+15;72239180;450;0;0;0;0;0;0;0;0;0;0;0;1,51E+16;2,48E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;1;0;-1;-1;0;0;14889934;3,32E+15;74306490;10320;65851762;6,98E+15;72239180;54921740;0
134.221.96.11-109.243.3.0-0-0-0;1342219611;0;10924330;0;0;25/03/2025 00:02;0;1;1;0;0;0;0;0;0;0;0;0;0;#NUM!;inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
