Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
134.221.96.13-88.40.0.59-0-0-0;1342219613;0;8840059;0;0;25/03/2025 00:01;128766;1;1;0;0;0;0;0;0;0;0;0;0;0;15.532050385971454;1287660;0;1287660;1287660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,76603E+15;7,76603E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
151.101.192.134-192.168.188.24-443-59068-6;19216818824;59068;1,51101E+11;443;6;25/03/2025 00:02;53739;4;9;640;58200;640;0;160;320;14560;0;6,46667E+15;7,66853E+15;1,09492E+16;241.90997227339548;447825;7,78018E+15;196250;0;185590;6,18633E+15;1,04311E+16;182310;1110;537390;6717375;8,87863E+15;197460;0;0;0;0;0;80;204;7,44338E+15;1,67476E+16;0;14560;4,20286E+15;6,79324E+15;4,61481E+16;0;1;0;0;0;0;0;0;20;4,52615E+16;160;6,46667E+15;0;0;0;0;0;0;4;64;9;5820;-1;297;1;0;0;0;0;0;0;0;0;0;0
134.221.96.2-55.206.4.214-0-0-0;134221962;0;552064214;0;0;25/03/2025 00:02;17007;2;1;0;0;0;0;0;0;0;0;0;0;0;176.39795378373609;85035;1,19763E+16;169720;350;169720;169720;0;169720;169720;0;0;0;0;0;0;0;0;0;0;0;1,17599E+16;5,87993E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.5-113.238.0.20-0-0-0;134221965;0;113238020;0;0;25/03/2025 00:01;471508;3;1;0;0;0;0;0;0;0;0;0;0;0;8.483419157257142;1,57169E+15;2,04017E+15;3898840;90950;4624130;2312065;2,24404E+15;3898840;725290;0;0;0;0;0;0;0;0;0;0;0;6,36256E+15;2,12085E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.11-109.243.0.32-0-0-0;1342219611;0;109243032;0;0;25/03/2025 00:02;680125;4;1;0;0;0;0;0;0;0;0;0;0;0;7.351589781290204;17003125;1,15283E+16;2562050;0;6801250;2,26708E+16;2,57203E+15;2562050;2089610;0;0;0;0;0;0;0;0;0;0;0;5,88127E+15;1,47032E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.14-62.86.4.214-0-0-0;1342219614;0;62864214;0;0;25/03/2025 00:01;38;2;1;0;0;0;0;0;0;0;0;0;0;0;78947.36842105263;190;4,24264E+15;220;160;160;160;0;160;160;0;0;0;0;0;0;0;0;0;0;0;5,26316E+15;2,63158E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.11-221.111.4.210-0-0-0;1342219611;0;2211114210;0;0;25/03/2025 00:02;65260568;16;1;0;0;0;0;0;0;0;0;0;0;0;0.26049420838629533;4,07879E+16;2,61469E+15;70651880;190;6,52605E+14;4,3507E+15;2,46118E+15;70651880;170610;0;0;0;0;0;0;0;0;0;0;0;2,45171E+16;1,53232E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1;0;-1;-1;0;0;35139510;1,67912E+16;43254190;964940;6,31098E+15;6,15212E+15;70651880;50473020;0
134.221.96.5-153.195.0.111-0-0-0;134221965;0;1531950111;0;0;25/03/2025 00:01;25222264;1;1;0;0;0;0;0;0;0;0;0;0;0;0.07929502284172428;2,52223E+14;0;2,52223E+14;2,52223E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,96475E+15;3,96475E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;2,52223E+14;0;2,52223E+14;2,52223E+14;0
134.221.96.9-154.168.0.46-0-0-0;134221969;0;154168046;0;0;24/03/2025 23:59;40321422;2;1;0;0;0;0;0;0;0;0;0;0;0;0.0744021379007913;2,01607E+14;1,8504E+23;3,3245E+14;70763960;3,3245E+14;3,3245E+14;0;3,3245E+14;3,3245E+14;0;0;0;0;0;0;0;0;0;0;0;4,96014E+14;2,48007E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;2,01607E+14;1,8504E+23;3,3245E+14;70763960;0
134.221.96.13-169.52.4.214-0-0-0;1342219613;0;169524214;0;0;25/03/2025 00:00;44;2;1;0;0;0;0;0;0;0;0;0;0;0;68181.81818181818;220;7,07107E+16;270;170;170;170;0;170;170;0;0;0;0;0;0;0;0;0;0;0;4,54545E+16;2,27273E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.5-92.199.0.51-0-0-0;134221965;0;92199051;0;0;25/03/2025 00:02;213478;8;1;0;0;0;0;0;0;0;0;0;0;0;42.158910988485935;2668475;7,2702E+15;2065230;240;2068530;2,95504E+15;7,80376E+15;2065230;240;0;0;0;0;0;0;0;0;0;0;0;3,74746E+15;4,68432E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.0-0.0.0.70-0-0-0;134221960;0;70;0;0;25/03/2025 00:01;3375267;1;1;0;0;0;0;0;0;0;0;0;0;0;0.592545715642644;33752670;0;33752670;33752670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,96273E+14;2,96273E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.13-67.183.0.32-0-0-0;1342219613;0;67183032;0;0;25/03/2025 00:01;45343256;2;1;0;0;0;0;0;0;0;0;0;0;0;0.06616198889643038;2,26716E+14;3,20175E+21;4,53114E+14;318680;4,53114E+14;4,53114E+14;0;4,53114E+14;4,53114E+14;0;0;0;0;0;0;0;0;0;0;0;4,4108E+15;2,2054E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;318680;0;318680;318680;4,53114E+14;0;4,53114E+14;4,53114E+14;0
134.221.96.9-0.150.0.40-0-0-0;134221969;0;150040;0;0;25/03/2025 00:01;3753111;28;1;0;0;0;0;0;0;0;0;0;0;0;7.726923077947868;1,3404E+15;3,59427E+16;19247330;580;36181900;1,34007E+16;3,66274E+15;19247330;580;0;0;0;0;0;0;0;0;0;0;0;7,46048E+15;2,66446E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.0-0.0.0.137-0-0-0;134221960;0;137;0;0;25/03/2025 00:01;3200889;2;1;0;0;0;0;0;0;0;0;0;0;0;0.9372396231172028;16004445;5,71132E+14;20042960;11965930;11965930;11965930;0;11965930;11965930;0;0;0;0;0;0;0;0;0;0;0;6,24826E+15;3,12413E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.5-153.195.0.112-0-0-0;134221965;0;1531950112;0;0;25/03/2025 00:01;1128705;1;1;0;0;0;0;0;0;0;0;0;0;0;1.7719421815266168;11287050;0;11287050;11287050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,85971E+15;8,85971E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.0-0.0.0.37-0-0-0;134221960;0;37;0;0;25/03/2025 00:02;2095;1;1;0;0;0;0;0;0;0;0;0;0;0;954.653937947494;20950;0;20950;20950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,77327E+14;4,77327E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.104.0-0.0.3.171-0-0-0;1342211040;0;3171;0;0;25/03/2025 00:01;58848056;1;1;0;0;0;0;0;0;0;0;0;0;0;0.03398582954040147;5,88481E+14;0;5,88481E+14;5,88481E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,69929E+16;1,69929E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;5,88481E+14;0;5,88481E+14;5,88481E+14;0
134.221.96.12-68.193.0.54-0-0-0;1342219612;0;68193054;0;0;25/03/2025 00:02;96921;1;1;0;0;0;0;0;0;0;0;0;0;0;20.635362821266806;969210;0;969210;969210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,03177E+16;1,03177E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
192.168.188.24-104.16.55.40-58971-443-6;104165540;443;19216818824;58971;6;24/03/2025 23:59;33;0;2;0;0;0;0;0;0;0;0;0;0;0;60606.0606060606;330;0;330;330;0;0;0;0;0;330;330;0;330;330;0;0;0;0;0;40;0;6,06061E+14;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;251;0;0;0;0;0;0;0;0;0;0;0
134.221.96.13-101.235.2.35-0-0-0;1342219613;0;101235235;0;0;25/03/2025 00:02;0;1;1;0;0;0;0;0;0;0;0;0;0;#NUM!;Infinity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.2-232.35.0.40-0-0-0;134221962;0;23235040;0;0;25/03/2025 00:01;82784018;6;1;0;0;0;0;0;0;0;0;0;0;0;0.0845573840110056;1,37973E+23;1,10418E+23;2,46119E+14;463620;6,62172E+14;1,32434E+15;1,22516E+23;2,46119E+14;463620;0;0;0;0;0;0;0;0;0;0;0;7,24778E+15;1,20796E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;-1;-1;0;0;463620;0;463620;463620;2,06718E+14;3,76428E+15;2,46119E+14;1,65668E+13;0
134.221.96.0-0.0.0.100-0-0-0;134221960;0;100;0;0;25/03/2025 00:00;110057124;2;1;0;0;0;0;0;0;0;0;0;0;0;0.027258571648664923;5,50286E+14;1,16781E+23;6,32862E+14;4,67709E+14;4,67709E+14;4,67709E+14;0;4,67709E+14;4,67709E+14;0;0;0;0;0;0;0;0;0;0;0;1,81724E+15;9,08619E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;5,50286E+14;1,16781E+23;6,32862E+14;4,67709E+14;0
134.221.96.13-169.52.0.86-0-0-0;1342219613;0;16952086;0;0;25/03/2025 00:00;21375;1;1;0;0;0;0;0;0;0;0;0;0;0;93.56725146198829;213750;0;213750;213750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,67836E+16;4,67836E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.9-0.150.0.41-0-0-0;134221969;0;150041;0;0;25/03/2025 00:01;3545054;18;1;0;0;0;0;0;0;0;0;0;0;0;5.359579854072745;1,96947E+16;4,96307E+15;21178040;28460;14272500;8,39559E+15;1,32457E+16;5447810;28460;0;0;0;0;0;0;0;0;0;0;0;5,0775E+14;2,82083E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
