Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
146.75.116.176-192.168.188.24-443-59013-6;14675116176;443;19216818824;59013;6;25/03/2025 00:10;235;2;1;240;510;240;0;120;1,69706E+15;510;510;510;0;319148.93617021275;12765.95744680851;1175;1,6617E+16;2350;0;2350;2350;0;2350;2350;0;0;0;0;0;0;1;0;0;40;20;8,51064E+15;4,25532E+15;0;510;315;2,45561E+15;6030;0;0;0;1;1;0;0;0;0;420;120;510;0;0;0;0;0;0;2;24;1;51;-1;308;1;0;0;0;0;0;0;0;0;0;1
146.75.116.176-192.168.188.24-443-59013-6;14675116176;443;19216818824;59013;6;25/03/2025 00:10;223040;1;1;750;0;750;750;750;0;0;0;0;0;336.26255380200865;8.96700143472023;2230400;0;2230400;2230400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;4,4835E+15;4,4835E+15;0;750;250;4,33013E+15;18750;1;0;0;0;1;0;0;0;10;375;750;0;0;0;0;0;0;0;1;75;1;0;-1;308;1;0;0;0;0;0;0;0;0;0;1
146.75.116.176-192.168.188.24-443-59013-6;14675116176;443;19216818824;59013;6;25/03/2025 00:10;895780;1;1;750;750;750;750;750;0;750;750;750;0;167.45182969032575;2.232691062537677;8957800;0;8957800;8957800;0;0;0;0;0;0;0;0;0;0;0;1;0;0;20;20;1,11635E+16;1,11635E+16;750;750;750;0;0;1;0;0;1;1;0;0;0;10;1125;750;750;0;0;0;0;0;0;1;75;1;75;-1;308;1;0;0;0;0;0;0;0;0;0;1
185.107.56.143-192.168.188.24-51820-61750-17;18510756143;51820;19216818824;61750;17;25/03/2025 00:08;119892439;6443;1464;67657720;3467400;14400;800;1,0501E+16;4,42402E+15;14400;320;2,36844E+15;3,67884E+16;59324.10800317441;65.95078109971556;1,51647E+16;9,99259E+15;24536230;-50;1,19846E+16;1,86038E+15;1,16956E+16;24536230;0;1,19892E+16;8,19497E+15;2,38603E+16;34293110;0;0;0;0;0;51544;11712;5,37398E+16;1,22109E+15;320;14400;8,99417E+14;5,3326E+15;2,84366E+15;0;0;0;0;0;0;0;0;0;8,99531E+15;1,0501E+15;2,36844E+16;0;0;0;0;0;0;6443;6765772;1464;346740;-1;-1;6443;0;0;0;0;0;0;0;0;0;1
136.225.0.0-160.0.176.82-0-0-0;13622500;0;160017682;0;0;25/03/2025 00:08;118028693;62;1;0;0;0;0;0;0;0;0;0;0;0.0;0.5337685133902144;1,90369E+16;2,98682E+15;20020730;9410400;1,16028E+16;1,90211E+16;3,00899E+15;20020730;9410400;0;0;0;0;0;0;0;0;0;0;0;5,25296E+15;8,47252E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;1
137.18.1.112-160.0.0.0-0-0-0;137181112;0;160000;0;0;25/03/2025 00:08;118028764;62;1;0;0;0;0;0;0;0;0;0;0;0.0;0.5337681923026831;1,90369E+16;2,98681E+15;20018790;9410370;1,16028E+16;1,90211E+16;3,00897E+16;20018790;9410370;0;0;0;0;0;0;0;0;0;0;0;5,25296E+15;8,47251E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;1
146.75.116.176-192.168.188.24-443-59013-6;14675116176;443;19216818824;59013;6;25/03/2025 00:10;3520013;1;1;750;750;750;750;750;0;750;750;750;0;42.61347898431057;0.5681797197908076;35200130;0;35200130;35200130;0;0;0;0;0;0;0;0;0;0;0;1;0;0;20;20;2,8409E+15;2,8409E+15;750;750;750;0;0;1;0;0;1;1;0;0;0;10;1125;750;750;0;0;0;0;0;0;1;75;1;75;-1;308;1;0;0;0;0;0;0;0;0;0;1
146.75.116.176-192.168.188.24-443-59013-6;14675116176;443;19216818824;59013;6;25/03/2025 00:10;14329659;1;1;750;750;750;750;750;0;750;750;750;0;10.467799687347759;0.13957066249797012;1,43297E+14;0;1,43297E+14;1,43297E+14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;20;20;6,97853E+15;6,97853E+15;750;750;750;0;0;1;0;0;1;1;0;0;0;10;1125;750;750;0;0;0;0;0;0;1;75;1;75;-1;308;1;0;0;0;0;0;0;0;0;0;1
192.168.188.24-224.0.0.22-0-0-0;19216818824;0;2240022;0;0;25/03/2025 00:09;7502640;2;1;0;0;0;0;0;0;0;0;0;0;0.0;0.3998592495441604;37513200;1,7559E+15;49929310;25097090;49929310;49929310;0;49929310;49929310;0;0;0;0;0;0;0;0;0;0;0;2,66573E+15;1,33286E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;1
8.0.6.4-8.6.0.1-0-0-0;8601;0;8064;0;0;25/03/2025 00:09;112507646;9;1;0;0;0;0;0;0;0;0;0;0;0.0;0.08888284801550288;1,25008E+23;1,67353E+23;3,75032E+14;130;1,12507E+16;1,40634E+23;1,71746E+23;3,75032E+14;130;0;0;0;0;0;0;0;0;0;0;0;7,99946E+14;8,88828E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;-1;-1;0;0;23075;1,45445E+15;3160;130;2,81265E+14;1,26833E+23;3,75032E+14;1,06581E+14;1
